0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
-1.1310476	0.27024627	-0.24608316	0.041365296	-0.16383648	0.081336625	1.413786	1.199056	-0.027455036	-1.752282	0.96175516	0.6473806	-0.44459736	-0.3258111	1.5494711	1.1846932	0.7973327	-1.0825095	0.5303324	-1.1986202
-0.12668829	-0.86553717	0.011768444	1.6669619	-0.8581212	0.031922314	2.3245215	0.29479146	1.5557271	0.22384855	2.0934885	0.902878	1.4180527	0.33637357	2.1661243	-0.23253895	-0.5664596	0.8054883	0.98494065	0.7203808
2.3094091	0.24068373	-0.57872194	0.99778503	1.8200784	0.27908775	0.61527854	-0.8194955	1.05366	-1.5518427	0.6912332	1.4013766	-0.9073781	-0.5114047	1.2386549	-0.33820838	-0.062314928	1.0026096	1.3925653	-0.336053
-0.28764513	0.06524877	-2.1632702	1.5305188	-0.28806105	0.7809585	-0.14168923	0.35801467	-1.3228538	-1.4903526	-0.037180796	0.1156122	1.1264983	0.56122905	0.050844725	-1.157329	0.4986269	-0.75696754	-0.5856529	-1.147182
1.190632	0.24728423	-0.053285107	-0.28980434	0.3875458	-0.20340793	-1.9083301	0.79147726	-0.6831801	-0.4415278	1.2802926	-0.49606213	0.95248115	-1.3169539	-0.71148664	1.5308186	1.6592388	0.2123004	1.2167027	-0.48153406
-0.8978358	-1.9361886	0.06250341	0.8101081	0.8591358	1.0872195	-1.0221307	0.3493696	-0.34906363	0.5257943	-0.18477692	0.5891067	0.064609915	-1.6426	1.0614258	-0.49901852	-1.2337217	0.72050965	1.0312563	-1.2132249
-1.27898	1.343936	1.4528029	-1.0182853	0.15788637	-0.6059917	-0.10117699	0.88971555	1.2881309	2.1144626	-0.5301496	-0.175121	-0.38022593	-0.4066598	0.34708837	0.5154708	1.8202338	1.1965628	0.1008803	-0.05903131
-0.6287384	0.89711493	-1.1664395	-0.33034196	-1.695631	-0.987414	1.1441693	0.8145666	0.16784278	-0.09920175	-0.60966057	0.5332549	-1.3316325	-0.43862334	-0.10500327	0.08407003	-0.4820312	0.44156873	-2.1006134	-0.013772386
-0.085803844	-1.6984534	-1.4391487	-1.1929973	1.2347206	1.5910909	-0.4849918	-0.72221875	0.7060891	0.099397294	0.5316528	1.5249604	-1.4049793	0.051881652	-0.5438366	-0.4378007	-1.0000751	-0.08024225	1.1874168	0.07840738
-0.010972902	0.048644874	-0.69039977	-0.8286616	-0.17364901	0.114187375	-0.84176594	-0.4010396	2.0490377	-1.0601636	-0.5396181	0.6514105	0.14532761	1.8090196	0.073233515	-1.2039082	-0.16673468	1.0623716	-1.0804411	-0.57794863
-0.44038552	0.28015164	0.97978616	-0.9575135	0.99328256	0.46166644	0.04722846	0.7640894	0.14135326	-0.16997628	0.20010164	-0.92840683	-0.09544388	1.9841325	-1.2284826	-0.4445909	0.6427038	-0.8553767	0.1784203	-0.8669792
